company,zone,circle,division,subdivision,temporaryAccountId,tempDateOfRegistration,parentAccountId,childAccountCount,dateOfRegistration,plotAreaSqft,noOfFloors,dateOfService,regionType,loadKW,tariff,flag,predicted_flag
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,JAYANAGAR,S18 CHIKKA KALLASANDRA, , ,8536721794,1,23-06-2026,NA,NA,,GBA,8,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,SHIVAMMOGA CIRCLE,SHIVAMMOGA DIVISION,SHIVAMMOGA CITY SUBDIVISION-1, , ,2377803857,1,23-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,SHIVAMMOGA CIRCLE,SHIVAMMOGA DIVISION,SHIVAMMOGA CITY SUBDIVISION-1, , ,6001886123,1,23-06-2026,NA,NA,,ULB,1,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,HEBBALA,C8 SAHAKARANAGARA, , ,3598097059,5,23-06-2026,NA,NA,,GBA,14,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,PEENNYA,N4 PEENYA, , ,3526355955,5,23-06-2026,NA,NA,,GBA,10,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S11 HSR LAYOUT, , ,4899014612,1,23-06-2026,NA,NA,,GBA,20,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S8 BOMMANAHALLI, , ,3463338013,5,23-06-2026,NA,NA,,GBA,12,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,HEBBALA,C7 YALAHANKA, , ,1822089600,2,23-06-2026,NA,NA,,RLB,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S8 BOMMANAHALLI, , ,233271293,4,23-06-2026,NA,NA,,GBA,12,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,PEENNYA,N4 PEENYA, , ,2564228338,5,23-06-2026,NA,NA,,GBA,7,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S8 BOMMANAHALLI, , ,2705767903,7,23-06-2026,NA,NA,,GBA,9,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,BELGAUM,BELGAUM,BELGAUM-URBAN DIVISION,CITY SUB-DIVISION-3 BELGAUM, , ,9041187982,1,23-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,RAJARAJESHWARINAGARA,W6 BYATARAYANAPURA, , ,3244102643,1,23-06-2026,NA,NA,,GBA,4,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,SHIVAMMOGA CIRCLE,SHIVAMMOGA DIVISION,SHIVAMMOGA CITY SUBDIVISION-1, , ,919810105,1,23-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E9 NAGAWARA, , ,7553587811,7,23-06-2026,1350,3,,GBA,20,LT-1,Eligible under G.O-2,Eligible under G.O-2
BESCOM,BMAZ NORTH,BANGALORE NORTH,PEENNYA,N4 PEENYA, , ,784378823,5,23-06-2026,NA,NA,,GBA,11,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E13 HENNUR SDO, , ,9865562904,5,23-06-2026,NA,NA,,GBA,11,LT-1,New Registration & Service Pending,New Registration & Service Pending
CESC,MYSORE,MANDYA O&M CIRCLE,MANDYA   DIVISION,MANDYA SUB DIVISION, , ,4232827211,1,23-06-2026,NA,NA,,ULB,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,HEBBALA,C8 SAHAKARANAGARA, , ,6011047271,13,23-06-2026,NA,NA,,GBA,52,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,JALAHALLI,C9 VIDYARANYAPURA, , ,4812756281,6,23-06-2026,NA,NA,,GBA,11,LT-1,New Registration & Service Pending,New Registration & Service Pending
CESC,MYSORE,MANDYA O&M CIRCLE,MANDYA   DIVISION,MANDYA SUB DIVISION, , ,5637407017,1,23-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,PEENNYA,N7 KURUBARAHALLI, , ,8531647653,5,24-06-2026,NA,NA,,GBA,11,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,RAJAJINAGAR,N2 KHB COLONY, , ,7667985573,6,24-06-2026,NA,NA,,GBA,25,LT-1,New Registration & Service Pending,New Registration & Service Pending
GESCOM,BELLARY,BELLARY,CSC BELLARY,BELLARY CSD-2, , ,73200253,1,24-06-2026,NA,NA,,ULB,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S11 HSR LAYOUT, , ,8697082013,9,24-06-2026,NA,NA,,RLB,18,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S19 VIJAYA BANK LAYOUT, , ,6341480052,9,24-06-2026,NA,NA,,GBA,9,LT-1,New Registration & Service Pending,New Registration & Service Pending
GESCOM,BELLARY,BELLARY,CSC BELLARY,BELLARY CSD-2, , ,2591761553,1,24-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,JAYANAGAR,S2 WILSON GARDEN, , ,1001876216,3,25-06-2026,NA,NA,,GBA,21,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BRAZ,RAMANAGAR,RAMANAGAR,RAMANAGARA URBAN, , ,9115096900,1,25-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S12 JP NAGAR, , ,5944652415,6,25-06-2026,NA,NA,,GBA,12,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,HUBLI,HUBLI,HUBLI-URBAN DIVISION,CITY SUB-DIVISION-3 HUBLI, , ,9968279608,1,25-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BRAZ,BANGALORE RURAL,NELAMANGALA,DODDABALLAPURA, , ,8462848383,1,25-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
GESCOM,BELLARY,O&M Circle Koppal,KOPPAL,KOPPAL, , ,1100018611,1,25-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,JALAHALLI,C3 JALAHALLI, , ,1812679643,1,25-06-2026,NA,NA,,GBA,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
